"County","General Fund M&O Tax Rate","General Fund I&S Tax Rate","Special Road & Bridge Fund M&O Tax Rate","Special Road & Bridge Fund I&S Tax Rate","Farm-to-Market/Flood Control Fund M&O Tax Rate","Farm-to-Market/Flood Control I&S Tax Rate"
"Ochiltree","$0.524000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Oldham","$0.550000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Orange","$0.489750 ","$0.006500 ","$0.042800 ","$0.000000 ","$0.002800","$0.000000 "
"Palo Pinto","$0.321197 ","$0.000000 ","$0.058000 ","$0.000000 ","$0.000000","$0.000000 "
"Panola","$0.582200 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.016100","$0.000000 "
"Parker","$0.241110 ","$0.070609 ","$0.000000 ","$0.000000 ","$0.078480","$0.000000 "
"Parmer","$0.435200 ","$0.027600 ","$0.000000 ","$0.000000 ","$0.115300","$0.000000 "
"Pecos","$0.799000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Polk","$0.543900 ","$0.102200 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Potter","$0.627730 ","$0.042270 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Presidio","$0.581200 ","$0.056140 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Rains","$0.635000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Randall","$0.373390 ","$0.041340 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Reagan","$0.311501 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.038154","$0.000000 "
"Real","$0.544700 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Red River","$0.645080 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.156420","$0.000000 "
"Reeves","$0.488470 ","$0.011050 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Refugio","$0.790000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
