County,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Newton,0.45%,0.49%,0.46%,0.72%,0.22%,1.35%,1.10%,1.48%
Nolan,0.13%,0.25%,0.46%,0.45%,0.32%,0.54%,0.45%,0.61%
Nueces,0.21%,0.25%,0.35%,0.35%,0.47%,0.52%,0.59%,0.69%
Ochiltree,0.27%,0.22%,0.35%,0.43%,0.21%,0.13%,0.26%,0.42%
Oldham,0.34%,0.55%,1.45%,0.94%,1.45%,1.28%,1.13%,1.21%
Orange,0.73%,0.81%,0.45%,0.29%,0.75%,0.66%,1.01%,0.94%
Palo Pinto,0.78%,0.79%,1.07%,0.95%,0.92%,0.96%,1.10%,1.48%
Panola,0.25%,0.20%,0.41%,0.32%,0.25%,0.49%,0.65%,0.78%
Parker,0.60%,0.75%,0.80%,1.14%,1.40%,1.30%,1.61%,1.78%
Parmer,0.22%,0.43%,0.59%,0.63%,0.53%,0.95%,0.93%,0.85%
Pecos,0.00%,0.18%,0.15%,0.31%,0.20%,0.23%,0.35%,0.37%
