County,District,Exemp_12.13,Exemp_13.14,Exemp_14.15,Exemp_15.16,Exemp_16.17,Exemp_17.18,Type,Pop_16
brazoria,angleton isd,0.16,0.38,0.48,0.44,0.33,0.43,d,6798
brazoria,brazosport christian school,3.48,0,6.09,6.2,0.35,7.56,o,247
brazoria,brazosport isd,0.33,0.38,0.67,0.83,0.79,1.04,c,12457
brazoria,columbia-brazoria isd,0.3,0.49,0.1,0.49,0.28,0.14,d,3169
brazoria,damon isd,1.42,1.86,1.85,1.26,0.6,1.47,h,193
brazoria,danbury isd,0.53,0.66,0.77,1.84,1.69,2.14,h,783
brazoria,eagle heights christian academy,0.59,1.62,2.86,6.95,8.77,NA,o,299
brazoria,holy comforter episcopal school,NA,2.56,0,1.25,2.47,0,o,NA
brazoria,kids r kids no. 42 shadow creek ranch,NA,NA,0,NA,NA,NA,o,NA
brazoria,kids r kids no. 44 highland glen,NA,NA,NA,NA,0,NA,o,NA
brazoria,living stones christian school,2.96,3.16,1.42,4.14,2.33,2.58,o,176
brazoria,our lady queen of peace catholic sch,0,0,0,0,0,0,o,211
brazoria,pearland isd,0.54,0.78,0.84,0.91,0.98,1.08,b,21585
brazoria,st. helen catholic school,0,0.65,1.31,1.61,1.56,0,o,464
brazoria,sweeny isd,0.84,0.82,1.08,0.86,1.26,1.2,d,2037
brazos,allen academy,0.64,0.68,0.76,0.36,0.9,0.64,o,310
brazos,brazos christian school,0.76,NA,NA,3.05,2.51,NA,o,NA
brazos,brazos cornerstone christian academy,4.49,12.24,14.89,20,NA,NA,o,NA
brazos,brazos school for inquiry & creativity,0,0,0,0.3,0.68,0,o,387
brazos,brazos valley cornerstone christian academy,NA,NA,NA,NA,7.78,5.68,o,NA
brazos,bryan isd,0.24,0.21,0.28,0.47,0.38,0.36,c,16237
brazos,college station isd,0.77,0.77,0.9,0.94,1.11,1.21,c,13188
brazos,harmony science acad (college station),1.04,1.76,2.07,1.52,NA,NA,o,NA
brazos,st joseph catholic sch,0,0,0,0,0,0,o,353
brazos,st. thomas early learning center college,NA,0,3.42,NA,NA,NA,o,NA
brazos,still creek christian sch,NA,1.2,5.26,NA,NA,NA,o,NA
brewster,alpine isd,1.85,1.5,0.52,1.64,1.59,1.63,g,1130
brewster,marathon isd,NA,NA,NA,NA,0,NA,h,70
brewster,terlingua csd,0,0,1.15,0,1.98,2.59,h,106
briscoe,silverton isd,2.56,2.86,2.16,3.55,3.26,2.02,h,200
brooks,brooks county isd,0,0,0,0,0.07,0.14,d,1577
brooks,la gloria isd,NA,0,0,0,0,0.76,h,NA
brown,bangs isd,6.52,0.39,1.02,0.63,1.51,1.64,g,954
brown,blanket isd,0,0,0,1.44,0.58,1.1,h,182
brown,brookesmith isd,0,1.78,1.16,1.33,0.76,NA,h,143
brown,brownwood isd,0.51,0.63,0.62,0.61,0.78,0.85,e,3715
brown,early isd,0.86,0.7,1,0.76,1.39,1.63,g,1169
brown,may isd,0,0,0,0,0.7,1.4,h,298
brown,ron jackson state juvenile corr complex unit i,NA,NA,NA,0,NA,NA,o,NA
brown,zephyr isd,0,0.96,0.48,0,0.91,0.98,h,220
burleson,caldwell isd,0.17,0.19,0.23,0.12,0.18,0.35,d,1749
burleson,first baptist school - caldwell,NA,NA,NA,2.3,1.83,0.96,o,NA
burleson,snook isd,0,0,0,0.21,0,0.43,h,480
burleson,somerville isd,0.41,0,0.22,0,0,0.43,h,459
burnet,burnet cisd,1.15,1.13,NA,1.39,1.6,2.23,d,3108
burnet,faith academy of marble falls,7.66,7.07,NA,12.29,18.69,15.27,o,NA
burnet,first baptist christian school marble falls,3.03,3.33,2.94,NA,1.09,5.63,o,NA
burnet,marble falls isd,1.45,1.77,2.36,2.09,1.94,2.08,e,4283
caldwell,lockhart isd,0.61,0.77,0.89,1.22,1.39,1.46,d,5680
caldwell,luling isd,0.15,0.28,0.36,0.52,0.76,1.01,e,1445
caldwell,prairie lea isd,0,NA,0,0.65,1.1,0.58,h,200
calhoun,calhoun county isd,0.57,0.49,0.47,0.4,0.47,0.59,g,4013
calhoun,our lady of the gulf catholic school,0,NA,NA,0,NA,NA,o,NA
callahan,baird isd,1.09,1.64,1.32,0.31,0.35,0.7,h,314
callahan,clyde cisd,0.89,1.28,1.52,1.43,1.92,1.59,d,1463
callahan,cross plains isd,0,0,0,0,0.92,0,h,343
callahan,eula isd,14.08,1.04,4.2,3.25,3.16,2.87,h,411
cameron,brownsville isd,0.07,0.06,0.07,0.07,0.09,0.11,c,46880
cameron,calvary christian sch,0.76,1.82,1.61,1.74,1.55,NA,o,288
cameron,episcopal day school,NA,0,0,0,0,0.34,o,NA
cameron,first baptist school,1.38,0.63,0,0,0.39,0,o,302
cameron,guadalupe regional middle school,0,0,0,0,0,0,o,77
cameron,harlingen cisd,0.1,0.03,0.1,0.12,0.09,0.08,d,18700
cameron,harmony science academy - brownsville,0.45,0,0.42,0.21,NA,NA,o,NA
cameron,incarnate word academy,0,0,0,0,0,0,o,174
cameron,kenmont montessori school,0.49,0.75,0.26,1.86,1.81,1.1,o,484
cameron,la feria isd,0.18,0.15,0.09,0.03,0.15,0.16,g,3565
cameron,los fresnos cisd,0.17,0.24,0.24,0.32,0.3,0.19,d,10840
cameron,marine military academy,0,0.39,0.42,0.4,0.4,2.07,o,218
cameron,point isabel isd,0.57,0.2,0.34,0.3,0.26,0.53,d,2483
cameron,rio hondo isd,0,0,0.1,0.1,0.11,0.11,g,1969
cameron,san benito cisd,0.03,0,0,0.04,0.05,0.06,d,10643
cameron,santa maria isd,0,0,0,0,0,0,h,691
cameron,santa rosa isd,0,0,0,0,0,0.09,g,1112
cameron,st anthony catholic school,0,NA,0,0,0,0,o,NA
cameron,st joseph academy,0.15,0,0,0,0,0,o,565
cameron,st mary's catholic school,0.26,0.9,0.58,0,0.6,0.29,o,319
cameron,st. alban's episcopal school,0,0,0,0.61,1.32,0.65,o,297
cameron,st. luke catholic school,0,0,0,0,0,0,o,151
cameron,st. paul lutheran school harlingen,0,0,0,0,NA,NA,o,NA
camp,pittsburg isd,0.13,0.08,0.04,0,0.04,0.04,g,2421
carson,groom isd,2.19,2.24,1.47,2.16,1.44,4.83,h,148
carson,panhandle isd,0.78,0.8,1.3,1.1,1.47,1.58,h,705
carson,spring creek isd,0.93,1.01,2.83,2.94,3.88,3.92,h,95
carson,white deer isd,0.27,0.77,0.57,0.86,0.85,0.86,h,366
cass,atlanta isd,0.5,0.6,0.34,0.74,0.65,1.09,e,1693
cass,avinger isd,0.85,1.31,1.34,2.19,0.76,1.59,h,132
cass,bloomburg isd,NA,0,0.39,0.39,1.52,1.56,h,283
cass,hughes springs isd,0,0,0,0.08,0.34,0.17,g,1261
cass,linden-kildare cisd,0,0,0,0.14,0,0,h,708
cass,mcleod isd,0,0,0,0,0,0.28,h,369
cass,queen city isd,NA,0.5,0.41,1.24,1.02,1.23,g,1033
castro,dimmitt isd,0,0,0.08,0,0.17,0.18,d,1246
castro,hart isd,NA,NA,NA,0,0,0,h,233
castro,nazareth isd,0,1.32,0,0,1.79,2.02,h,233
chambers,anahuac isd,0.34,0.34,0.58,0.56,1.14,0.6,d,1314
chambers,barbers hill isd,0.52,0.53,0.65,1.01,1.26,1.46,d,5266
chambers,east chambers isd,NA,0.22,0.3,0.29,0.29,0.56,e,1475
cherokee,alto isd,0.15,0,0,0,0.78,0.93,h,643
cherokee,jacksonville isd,0.26,0.15,0.21,0.36,0.34,0.41,e,4953
cherokee,new summerfield isd,0,0,0,0,0,0,h,544
cherokee,rusk isd,0.05,0.27,0.57,0.39,0.39,0.43,g,2154
cherokee,wells isd,2.2,2.22,1,1.52,1.12,2.23,h,284
childress,childress isd,0.09,0,0.09,0.09,0.18,0.19,g,1135
clay,bellevue isd,1.23,0.7,0,1.38,0,0,h,139
clay,henrietta isd,0.34,0.44,0.32,0.33,0.23,0.66,d,931
clay,midway isd,0,0,0,NA,NA,1.46,h,129
clay,midway isd,0,0,0,NA,NA,1.46,d,129
cochran,morton isd,NA,0,0,0,0,0,h,422
cochran,whiteface cisd,0.9,0.88,0.88,0.63,0.64,0.7,h,330
coke,bronte isd,0,0,0,0,0,0.44,h,256
coke,robert lee isd,0.9,2.61,2.79,2.16,3.62,4.82,h,296
coleman,coleman isd,0,0,0.23,0.6,1.49,0.61,g,887
coleman,panther creek cisd,0,0,0,0,NA,NA,h,162
coleman,santa anna isd,0,0,0,0,0.74,0.79,h,285
collin,allen isd,1.32,1.56,1.68,1.59,2.02,1.95,d,20939
collin,anna isd,NA,1.8,2.24,2.32,2.25,2.42,f,3239
collin,bethany christian school,NA,7.23,3.53,0,4.4,7.84,o,NA
collin,blue ridge isd,0.96,1.74,1.02,1.04,0.97,0.31,h,759
collin,celina isd,1.92,2.32,2.78,2.92,3.23,3.6,g,2429
collin,collin county cornerstone christian acad,15.96,13.24,15.92,NA,NA,11.76,o,NA
